Timeslot, Pitch, Team A, Team B, Head Referee, Assistant Referee A, Assistant Referee B, Assistant Referee C, Assistant Referee D, Snitch Referee, Snitch
2017-01-01T09:00:00.000Z,1,Leicester Thestrals,Nottingham Nightmares,,,,,,,
2017-01-01T09:00:00.000Z,2,Portsmouth Horntail Strikers,Keele Squirrels,,,,,,,
2017-01-01T09:00:00.000Z,3,Velociraptors QC,Brizzlebees,,,,,,,
2017-01-01T09:00:00.000Z,4,The London Unspeakables,Cambridge University Quidditch Club,,,,,,,
2017-01-01T09:00:00.000Z,5,Tornadoes Quidditch Club,Reading Rocs,,,,,,,
2017-01-01T09:00:00.000Z,6,Radcliffe Chimeras,Chester Centurions,,,,,,,
2017-01-01T10:00:00.000Z,1,Southampton Quidditch Club Firsts,HogYork Horntails,,,,,,,
2017-01-01T10:00:00.000Z,2,Durhamstrang,Tremough Quidditch Club,,,,,,,
2017-01-01T10:00:00.000Z,3,Leeds Griffins Quidditch Team,Durham Direwolves,,,,,,,
2017-01-01T10:00:00.000Z,4,Werewolves of London,Norwich Nifflers,,,,,,,
2017-01-01T10:00:00.000Z,5,Brizzlebears,Exeter Eagles,,,,,,,
2017-01-01T10:00:00.000Z,6,Bangor Broken Broomsticks,Manchester Manticores,,,,,,,
2017-01-01T11:00:00.000Z,1,Holyrood Hippogriffs Firsts,Sheffield Squids,,,,,,,
2017-01-01T11:00:00.000Z,2,Loughborough Longshots,Oxford Quidlings,,,,,,,
2017-01-01T11:00:00.000Z,3,Swansea Seven Swans,Derby Union Quidditch,,,,,,,
2017-01-01T11:00:00.000Z,4,Warwick Quidditch Club,Southampton Quidditch Club Seconds,,,,,,,
2017-01-01T11:00:00.000Z,5,Velociraptors QC,Portsmouth Horntail Strikers,,,,,,,
2017-01-01T11:00:00.000Z,6,Brizzlebees,Keele Squirrels,,,,,,,
2017-01-01T12:00:00.000Z,1,The London Unspeakables,Leicester Thestrals,,,,,,,
2017-01-01T12:00:00.000Z,2,Cambridge University Quidditch Club,Nottingham Nightmares,,,,,,,
2017-01-01T12:00:00.000Z,3,Tornadoes Quidditch Club,Chester Centurions,,,,,,,
2017-01-01T12:00:00.000Z,4,Radcliffe Chimeras,Reading Rocs,,,,,,,
2017-01-01T12:00:00.000Z,5,Werewolves of London,Durham Direwolves,,,,,,,
2017-01-01T12:00:00.000Z,6,Leeds Griffins Quidditch Team,Norwich Nifflers,,,,,,,
2017-01-01T13:30:00.000Z,1,Durhamstrang,Southampton Quidditch Club Firsts,,,,,,,
2017-01-01T13:30:00.000Z,2,Tremough Quidditch Club,HogYork Horntails,,,,,,,
2017-01-01T13:30:00.000Z,3,Brizzlebears,Bangor Broken Broomsticks,,,,,,,
2017-01-01T13:30:00.000Z,4,Exeter Eagles,Manchester Manticores,,,,,,,
2017-01-01T13:30:00.000Z,5,Loughborough Longshots,Derby Union Quidditch,,,,,,,
2017-01-01T13:30:00.000Z,6,Swansea Seven Swans,Oxford Quidlings,,,,,,,
2017-01-01T14:30:00.000Z,1,The London Unspeakables,Nottingham Nightmares,,,,,,,
2017-01-01T14:30:00.000Z,2,Velociraptors QC,Keele Squirrels,,,,,,,
2017-01-01T14:30:00.000Z,3,Portsmouth Horntail Strikers,Brizzlebees,,,,,,,
2017-01-01T14:30:00.000Z,4,Leicester Thestrals,Cambridge University Quidditch Club,,,,,,,
2017-01-01T14:30:00.000Z,5,Holyrood Hippogriffs Firsts,Southampton Quidditch Club Seconds,,,,,,,
2017-01-01T14:30:00.000Z,6,Warwick Quidditch Club,Sheffield Squids,,,,,,,
2017-01-01T15:30:00.000Z,1,Durhamstrang,HogYork Horntails,,,,,,,
2017-01-01T15:30:00.000Z,2,Reading Rocs,Chester Centurions,,,,,,,
2017-01-01T15:30:00.000Z,3,Tornadoes Quidditch Club,Radcliffe Chimeras,,,,,,,
2017-01-01T15:30:00.000Z,4,Werewolves of London,Leeds Griffins Quidditch Team,,,,,,,
2017-01-01T15:30:00.000Z,5,Norwich Nifflers,Durham Direwolves,,,,,,,
2017-01-01T15:30:00.000Z,6,Southampton Quidditch Club Firsts,Tremough Quidditch Club,,,,,,,
2017-01-01T16:30:00.000Z,1,Warwick Quidditch Club,Holyrood Hippogriffs Firsts,,,,,,,
2017-01-01T16:30:00.000Z,2,Bangor Broken Broomsticks,Exeter Eagles,,,,,,,
2017-01-01T16:30:00.000Z,3,Brizzlebears,Manchester Manticores,,,,,,,
2017-01-01T16:30:00.000Z,4,Loughborough Longshots,Swansea Seven Swans,,,,,,,
2017-01-01T16:30:00.000Z,5,Oxford Quidlings,Derby Union Quidditch,,,,,,,
2017-01-01T16:30:00.000Z,6,Southampton Quidditch Club Seconds,Sheffield Squids,,,,,,,
