Name, Location
Bangor Broken Broomsticks,Bangor
Brizzlebears,Bristol
Brizzlebees,Bristol
Cambridge University Quidditch Club,Cambridge
Central London Quidditch Club,London
Chester Centurions,Chester
Derby Union Quidditch,Derby
Durhamstrang,Durham
Durham Direwolves,Durham
Exeter Eagles,Exeter
Flying Chaucers,Canterbury
HogYork Horntails,York
Holyrood Hippogriffs Firsts,Edinburgh
Holyrood Hippogriffs Seconds,Edinburgh
Keele Squirrels,Keele
Keele Krakens,Keele
Leeds Griffins Quidditch Team,Leeds
Leicester Thestrals,Leicester
Liverpuddly Cannons,Liverpool
Loughborough Longshots,Loughborough
Manchester Manticores,Manchester
Norwich Nifflers,Norwich
Nottingham Nightmares,Nottingham
Radcliffe Chimeras,Oxford
Oxford Quidlings,Oxford
Portsmouth Horntail Strikers,Portsmouth
Preston Poltergeists,Preston
Reading Rocs,Reading
Sheffield Squids,Sheffield
Sheffield Steelfins,Sheffield
Southampton Quidditch Club Firsts,Southampton
Southampton Quidditch Club Seconds,Southampton
St Andrews Snidgets,St Andrews
Swansea Seven Swans,Swansea
The London Unspeakables,London
The London Unbreakables,London
Tornadoes Quidditch Club,Yorkshire
Tremough Quidditch Club,Falmouth
Velociraptors QC,Nottingham
Warwick Quidditch Club,Coventry
Werewolves of London,London
